# d, delta_theta (radians)
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.000000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.008727,-0.017453
0.000000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.100000,0.000000
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
0.008727,0.017453
